"wikidata","label"
"Q5249093","Absolute Deception (Trenchard-Smith, 2013)"
"Q339127","Accidents Happen (Lancaster, 2009)"
"Q2823386","Acolytes (Hewitt, 2008)"
"Q15039372","Act of Necessity (Munro, 1991)"
"Q127600189","The Actress (2005)"
"Q91663313","Acute Misfortune (Wright, 2018)"
"Q3233052","Two Mothers (Fontaine, 2013)"
"Q255328","The Adventures of Priscilla, Queen of the Desert (Elliott, 1994)"
"Q121079737","Aftershocks (1998)"
"Q21198114","Alex & Eve (Andrikidis, 2015)"
"Q180363","Alexandra's Project (Heer, 2003)"
"Q24278847","Ali's Wedding (Walker, 2016)"
"Q4729070","All Men Are Liars (Lee, 1995)"
"Q4729104","All My Friends Are Leaving Brisbane (Alston, 2007)"
"Q132636551","All Night Gaming (Cusack, 2016)"
"Q4749060","Amy (Tass, 1997)"
"Q4762078","Angel Baby (Rymer, 1995)"
"Q65032687","Angel of Mine (Farrant, 2019)"
"Q4763958","Angst (Nettheim, 2000)"
"Q1144983","Animal Kingdom (Michôd, 2010)"
"Q60738656","Animals (Hyde, 2019)"
"Q4778174","Any Questions for Ben? (Sitch, 2012)"
"Q4795619","Around the Block (Spillane, 2013)"
"Q126077206","Ascendant (2021)"
"Q275180","Australia (Luhrmann, 2008)"
"Q48672667","Australia Day (Stenders, 2017)"
"Q4824629","Australian Rules (Goldman, 2002)"
"Q4830757","Aya (Hoaas, 1990)"
"Q16011764","The Babadook (Kent, 2014)"
"Q720724","Babe (Noonan, 1995)"
"Q690892","Babe: Pig in the City (Miller, 1998)"
"Q66712802","Babyteeth (Murphy, 2019)"
"Q132640010","Back from the Dead (1997)"
"Q4839322","Back of Beyond (Robertson, 1995)"
"Q127600429","The Backpacker (2009)"
"Q4839735","Backsliding (Target, 1992)"
"Q20001169","Backtrack (Petroni, 2015)"
"Q20814449","Backyard Ashes (Grentell, 2014)"
"Q39073553","Bad Blood (2017)"
"Q798641","Bad Boy Bubby (Heer, 1993)"
"Q4840227","Bad Bush (Genocchio, 2009)"
"Q1939403","Bad Eggs (Martin, 2003)"
"Q111493759","Bad Girl (Edquist, 2016)"
"Q970746","Bait 3D (Rendall, 2012)"
"Q2597292","Balibo (Connolly, 2009)"
"Q2409617","The Bank (Connolly, 2001)"
"Q15039628","Bathing Franky (Elliott, 2012)"
"Q127600153","Beast (2016)"
"Q2893302","Beautiful (O'Flaherty, 2009)"
"Q4877736","Beautiful Kate (Ward, 2009)"
"Q4879081","Bedevil (Moffatt, 1993)"
"Q127600385","Belladonna (2008)"
"Q127600297","Below (2019)"
"Q4887177","Beneath Clouds (Sen, 2002)"
"Q2986009","Beneath Hill 60 (Sims, 2010)"
"Q25212771","Berlin Syndrome (Shortland, 2017)"
"Q7717381","The Bet (Lee, 2006)"
"Q4898542","Better Than Sex (Teplitzky, 2000)"
"Q28768860","Better Watch Out (Peckover, 2016)"
"Q5476352","Fovou tous Ellines (Tatoulis, 2000)"
"Q4900000","Beyond My Reach (Burstall, 1990)"
"Q127543656","Big Mamma's Boy (2011)"
"Q7717807","The Big Steal (Tass, 1990)"
"Q4906898","Bigger Than Tina (Foley, 1999)"
"Q127600891","Bilched (2019)"
"Q4912057","Billy's Holiday (Wherrett, 1995)"
"Q110982391","Birthday (Harkness, 2009)"
"Q12102493","Bitter & Twisted (Weekes, 2008)"
"Q127600273","Bitter Art (2010)"
"Q3414343","Black and White (Lahiff, 2002)"
"Q4920204","Black & White & Sex (Winter, 2011)"
"Q1755928","The Black Balloon (Down, 2008)"
"Q880515","Black Robe (Beresford, 1991)"
"Q880636","Black Water (Traucki/Nerlich, 2007)"
"Q97486327","Black Water: Abyss (Traucki, 2020)"
"Q4922836","Blackfellas (Ricketson, 1993)"
"Q2905586","Blackrock (Vidler, 1997)"
"Q15039394","Blackwater Trail (Barry, 1995)"
"Q4924690","Blame (Henry, 2011)"
"Q4926230","Blessed (Kokkinos, 2009)"
"Q4926523","Blind Company (Tsilimidos, 2009)"
"Q4926690","Blinder (Gray, 2013)"
"Q804498","Blinky Bill (Gross, 1992)"
"Q3416461","Blood Oath (Wallace, 1990)"
"Q48672582","Bloodlands (2017)"
"Q4927978","Bloodlust (Hewitt, 1992)"
"Q127600809","Bloodshot Heart (2020)"
"Q98126098","Bloody Hell (Grierson, 2020)"
"Q127599798","Blue Lies (2008)"
"Q4930799","Blurred (Clarry, 2002)"
"Q1278728","Body Melt (Brophy, 1993)"
"Q4941409","Bondi Tsunami (Lucas, 2004)"
"Q4224682","The Book of Revelation (Kokkinos, 2006)"
"Q127600674","Book Week (2018)"
"Q2634003","Bootmen (Perry, 2000)"
"Q132636553","The Bouncer (2006)"
"Q4951724","Boxing Day (Stenders, 2007)"
"Q132636554","The Boy Castaways (2013)"
"Q39659543","Boy Erased (Edgerton, 2018)"
"Q7719728","The Boys (Woods, 1998)"
"Q1680405","The Boys Are Back (Hicks, 2009)"
"Q27959327","Boys in the Trees (Verso, 2016)"
"Q4952040","BoyTown (Carlin, 2006)"
"Q4956299","Bran Nue Dae (Perkins, 2009)"
"Q15039809","Breakaway (McLennan, 1990)"
"Q47244559","Breath (Baker, 2017)"
"Q4959906","Breathing Under Water (Dermody, 1991)"
"Q1190988","Bright Star (Campion, 2009)"
"Q4968055","Brilliant Lies (Franklin, 1996)"
"Q27959330","Broke (Davis, 2016)"
"Q4973402","Broken Highway (McInnes, 1993)"
"Q4973484","Broken Sun (Haynes, 2008)"
"Q54020539","Brothers' Nest (Jacobson, 2018)"
"Q132636556","Bunny (2014)"
"Q85749544","Buoyancy (Rathjen, 2019)"
"Q127600794","Burke & Wills (2007)"
"Q110504804","Burning Kiss (2018)"
"Q4999868","Burning Man (Teplitzky, 2011)"
"Q38463307","The Butterfly Tree (2017)"
"Q5016137","Cactus (Carrucan, 2008)"
"Q280928","Candy (Armfield, 2006)"
"Q16972185","Canopy (Wilson, 2013)"
"Q5038998","Careless Love (Duigan, 2012)"
"Q39074257","Cargo (Howling/Ramke, 2017)"
"Q2471493","The Castle (Sitch, 1997)"
"Q7721707","The Caterpillar Wish (Sciberras, 2006)"
"Q5054430","Caught Inside (Blaiklock, 2010)"
"Q5056580","Cedar Boys (Caradee, 2009)"
"Q65051759","Celeste (Hackworth, 2018)"
"Q127543868","Cerulean Blue (2018)"
"Q1648869","Charlie & Boots (Murphy, 2009)"
"Q16736456","Charlie's Country (Heer, 2013)"
"Q106390587","Chasing Wonders (2020)"
"Q1977021","Children of the Revolution (Duncan, 1996)"
"Q164663","The Children of Huang Shi (Spottiswoode, 2008)"
"Q127600806","Chocolate Oyster (2019)"
"Q128855","Chopper (Dominik, 2000)"
"Q5123285","City Loop (Chayko, 2000)"
"Q3283639","Closed for Winter (Bogle, 2009)"
"Q1745723","Clubland (Nowlan, 2007)"
"Q5141012","Coffin Rock (Glasson, 2009)"
"Q4655994","A Cold Summer (Middleditch, 2003)"
"Q7726899","The Combination (Field, 2009)"
"Q127600808","The Combination: Redemption (2019)"
"Q132636557","The Competition (2014)"
"Q115676246","Convict (Basha, 2014)"
"Q132636559","Cooped Up (2016)"
"Q127543514","Corroboree (2007)"
"Q5173917","Cosi (Joffe, 1996)"
"Q4158757","Country Life (Blakemore, 1994)"
"Q12110058","Crackerjack (Moloney, 2002)"
"Q5180379","Crackers (Swann, 1998)"
"Q7727942","The Craic (Emery, 1999)"
"Q5187786","Crooked Business (Nyst, 2008)"
"Q7728163","The Crop (Patterson, 2004)"
"Q7728178","The Crossing (Ogilvie, 1990)"
"Q5190184","Crush (Soto, 2009)"
"Q127600752","Crushed (2015)"
"Q5192195","Cubbyhouse (Fahey, 2001)"
"Q922054","The Cup (Rinpoche, 1999)"
"Q7728406","The Cup (Wincer, 2011)"
"Q7728500","The Custodian (Dingwall, 1993)"
"Q978522","Cut (Rendall, 2000)"
"Q18164602","Cut Snake (Ayres, 2014)"
"Q5207857","Dad and Dave: On Our Selection (Whaley, 1995)"
"Q5208656","Dags (Fahey, 1998)"
"Q5211065","Dalkeith (Sheehan, 2001)"
"Q5211325","Dallas Doll (Turner, 1994)"
"Q41783910","Dance Academy: The Movie (Walker, 2017)"
"Q5215162","Dance Me to My Song (Heer, 1998)"
"Q60590159","Danger Close: The Battle of Long Tan (Stenders, 2019)"
"Q3430722","Danny Deckchair (Balsmeyer, 2003)"
"Q1127281","Dark City (Proyas, 1998)"
"Q122912809","The Darkside (2013)"
"Q3429332","Dating the Enemy (Huberman, 1996)"
"Q20745693","The Daughter (Stone, 2015)"
"Q127600422","The Day Neil Armstrong Walked On The Moon (2002)"
"Q1128499","Daybreakers (Spierig/Spierig, 2009)"
"Q7736524","The Girl Who Came Late (Mueller, 1991)"
"Q5245178","Dead Europe (Krawitz, 2012)"
"Q5245210","Dead Heart (Parsons, 1996)"
"Q5245250","Dead Letter Office (Ruane, 1997)"
"Q5245405","Dead Sleep (Mills, 1991)"
"Q5245524","Dead to the World (Gibson, 1991)"
"Q5245604","Deadly (Storm, 1991)"
"Q5246824","Dear Claudia (Cudlipp, 1999)"
"Q24905864","The Death and Life of Otto Bloom (2016)"
"Q666422","Death Defying Acts (Armstrong, 2007)"
"Q4424397","Death in Brunswick (Ruane, 1990)"
"Q132636561","Deceit (2013)"
"Q83730","December Boys (Hardy, 2007)"
"Q5249264","Deck Dogz (Pasvolsky, 2005)"
"Q127600651","Max's Dreaming (2002)"
"Q132636562","Desire (Mousoulis, 1999)"
"Q5271064","Diana & Me (Parker, 1997)"
"Q3028325","Dingo (Heer, 1991)"
"Q127600386","The Dinner Party (2008)"
"Q60737528","Dirt Music (Jordan, 2019)"
"Q4151182","Dirty Deeds (Caesar, 2002)"
"Q108030463","Disclosure (2020)"
"Q281830","Disgrace (Jacobs, 2008)"
"Q1410845","The Dish (Sitch, 2000)"
"Q3714858","Dr. Plonk (Heer, 2007)"
"Q123288117","Dogwatch (McInnes, 1999)"
"Q5288674","Doing Time for Patsy Cline (Kennedy, 1997)"
"Q42048160","Don't Tell (2017)"
"Q27959595","Down Under (Forsythe, 2016)"
"Q20814503","Downriver (Scicluna, 2015)"
"Q119819355","Dreamland (2009)"
"Q124311957","Dreams for Life (2004)"
"Q18389586","The Dressmaker (Moorhouse, 2015)"
"Q3415674","Drift (O'Neill, 2013)"
"Q15039740","Drive Hard (Trenchard-Smith, 2014)"
"Q106093003","The Drover’s Wife (Purcell, 2021)"
"Q21186168","Drown (Francis, 2015)"
"Q104374134","The Dry (Connolly, 2020)"
"Q5316988","Dust Off the Wings (Rogers, 1997)"
"Q110518235","The Dustwalker (Sciberras, 2019)"
"Q115394","Dying Breed (Dwyer, 2008)"
"Q23929932","Early Winter (Rowe, 2015)"
"Q5348951","Eight Ball (Argall, 1992)"
"Q107105075","Ellie & Abbie (Zanetti, 2020)"
"Q127543876","Ellipsis (2018)"
"Q5367072","Eloise (2002)"
"Q5368741","Em4Jay (Tsilimidos, 2008)"
"Q104177851","Emu Runner (2019)"
"Q127600266","Emulsion (2006)"
"Q5375590","Encounters (Fahey, 1993)"
"Q118946028","Envy (1999)"
"Q3415982","Epsilon (Heer, 1997)"
"Q4532625","Erskineville Kings (White, 1999)"
"Q120169016","Escape and Evasion (Ashwood, 2019)"
"Q62075994","Escape from Pretoria (Annan, 2020)"
"Q59453151","Event Zero (Tedeschi, 2017)"
"Q5417859","Everynight ... Everynight (Tsilimidos, 1994)"
"Q4081065","Exchange Lifeguards (Murphy, 1992)"
"Q5420265","Exile (Cox, 1994)"
"Q7732882","The Extra (Carlin, 2005)"
"Q3520813","The Eye of the Storm (Schepisi, 2011)"
"Q5428410","Face to Face (Rymer, 2011)"
"Q5437219","Fat Pizza (Fenech, 2003)"
"Q5437280","Fatal Bond (Monton, 1992)"
"Q4380063","Fatal Sky (Shields, 1990)"
"Q5437557","Father (Power, 1990)"
"Q127600946","The Fear Of Darkness (2014)"
"Q1400892","Feed (Leonard, 2005)"
"Q122912812","Fell (2014)"
"Q3068196","Felony (Saville, 2013)"
"Q198560","A Few Best Men (Elliott, 2011)"
"Q29907988","A Few Less Men (Lamprell, 2017)"
"Q4550854","15 Amore (Murphy, 1999)"
"Q127600283","Fat Legs (2016)"
"Q7733953","The Final Winter (Andrews/Forrest, 2007)"
"Q127600701","Finding Joy (2003)"
"Q7733988","The Finished People (Do, 2003)"
"Q5455347","Fistful of Flies (Pellizzari, 1996)"
"Q127599958","The Five Provocations (2018)"
"Q127665","Flirting (Duigan, 1991)"
"Q5459878","Floating Life (Law, 1996)"
"Q122925839","The Flood (2022)"
"Q5463640","Flynn (Howson, 1993)"
"Q5466613","Footy Legends (Do, 2006)"
"Q130465585","For Now (2017)"
"Q127600392","Force Of Destiny (2015)"
"Q612373","Fortress (Gordon, 1992)"
"Q132636563","Fortune (Scarf, 2009)"
"Q4638652","48 Shades (Lapaine, 2006)"
"Q5475706","Four of a Kind (Cochrane, 2008)"
"Q594030","Frauds (Elliott, 1993)"
"Q127600104","Freedom Deep (1997)"
"Q5502935","Fresh Air (Fahey, 1999)"
"Q109442804","The Furnace (2020)"
"Q2638438","Gabriel (Abbess/Lengyel, 2007)"
"Q67098007","Galore (Graham, 2013)"
"Q3007933","Garage Days (Proyas, 2002)"
"Q5522034","Garbo (Cobb, 1992)"
"Q127600199","The Gates Of Hell (2008)"
"Q107570772","The Gateway (Soto, 2018)"
"Q5553798","Get Away, Get Away (Fahey, 1992)"
"Q5554560","Gettin' Square (Teplitzky, 2003)"
"Q5563206","Gino (McKimmie, 1993)"
"Q21010855","Girl Asleep (Myers, 2015)"
"Q90297034","Go Karts (Trevor, 2020)"
"Q5576273","Goddess (Lamprell, 2013)"
"Q1138902","The Goddess of 1967 (Law, 2000)"
"Q17005455","Golden Braid (Cox, 1990)"
"Q25136735","Goldstone (Sen, 2016)"
"Q1537088","Gone (Ledwidge, 2007)"
"Q892735","The Great Gatsby (Luhrmann, 2013)"
"Q105102351","Great White (2021)"
"Q505135","Green Card (Weir, 1990)"
"Q5604194","Greenkeeping (Caesar, 1992)"
"Q5608758","Griff the Invisible (Ford, 2010)"
"Q28369717","Gringo (Edgerton, 2018)"
"Q2515683","Gross Misconduct (Miller, 1993)"
"Q86501880","H Is for Happiness (Sheedy, 2019)"
"Q21010856","Hacksaw Ridge (Gibson, 2016)"
"Q16641112","Hail (Courtin-Wilson, 2011)"
"Q3545539","Hammers Over the Anvil (Turner, 1993)"
"Q126800","Happy Feet (Miller, 2006)"
"Q816857","Happy Feet Two (Miller, 2011)"
"Q5654787","Harbour Beat (Elfick, 1990)"
"Q600253","The Hard Word (Roberts, 2002)"
"Q56596889","Harmony (2018)"
"Q3285042","Hating Alison Ashley (Bennett, 2005)"
"Q3415693","He Died with a Felafel in His Hand (Lowenstein, 2001)"
"Q2700562","Head On (Kokkinos, 1998)"
"Q15039629","Healing (Monahan, 2014)"
"Q15039741","A Heartbeat Away (Edwards, 2011)"
"Q7739216","The Heartbreak Kid (Jenkins, 1993)"
"Q73543245","Hearts and Bones (Lawrence, 2019)"
"Q1516308","Heaven's Burning (Lahiff, 1997)"
"Q127543723","The Heckler (2014)"
"Q4114646","Hercules Returns (Parker, 1993)"
"Q5737257","Here I Am (Cole, 2011)"
"Q5749159","Hey, Hey, It's Esther Blueburger (Randall, 2008)"
"Q87654420","High Ground (Johnson, 2020)"
"Q127600649","Hildegarde (2002)"
"Q20647417","Holding the Man (Armfield, 2015)"
"Q5880596","Holidays on the River Yarra (Berkeley, 1991)"
"Q143835","Holy Smoke! (Campion, 1999)"
"Q5368751","The Home Song Stories (Ayres, 2007)"
"Q7740191","The Honourable Wally Norman (Emery, 2003)"
"Q5236629","The Horseman (2008)"
"Q5905890","Horseplay (Kazantzidis, 2003)"
"Q127600742","Hostage To Fate (2004)"
"Q130582188","Hot Mess (2018)"
"Q5912157","Hotel de Love (Rosenberg, 1996)"
"Q27703167","Hotel Mumbai (Maras, 2018)"
"Q12124874","Hotel Sorrento (Franklin, 1995)"
"Q27962542","Hounds of Love (Young, 2016)"
"Q5916271","Housos vs. Authority (Fenech, 2012)"
"Q127600243","How Do You Know Chris? (2020)"
"Q5937650","Human Touch (Cox, 2004)"
"Q12124935","Hunt Angels (Morgan, 2006)"
"Q2118926","The Hunter (Nettheim, 2011)"
"Q4085738","Hunting (Howson, 1991)"
"Q5947021","Hurrah (Shields, 1998)"
"Q12124942","Hurricane Smith (Budds, 1992)"
"Q55762009","I Am Mother (Sputore, 2019)"
"Q67171163","I Am Woman (Moon, 2019)"
"Q2708907","I, Frankenstein (Beattie, 2014)"
"Q4535752","I Love You Too (Reid, 2010)"
"Q5988951","Idiot Box (Caesar, 1996)"
"Q12125013","The Illustrated Family Doctor (Stenders, 2005)"
"Q12125031","In a Savage Land (Bennett, 1999)"
"Q19874556","In the Winter Dark (Bogle, 1998)"
"Q7741792","The Independent (O'Keefe/Studley, 2007)"
"Q19874606","Infini (Abbess, 2015)"
"Q19874608","The Infinite Man (Sullivan, 2014)"
"Q127599899","The Inner Sanctuary (1996)"
"Q6035913","Innocence (Cox, 2000)"
"Q127600415","The Inside Story (2001)"
"Q7742367","The Interview (Monahan, 1998)"
"Q64004122","The Invisible Man (Whannell, 2020)"
"Q1778814","Irresistible (Turner, 2006)"
"Q127600287","Is This The Real World (2015)"
"Q2339315","The Jammed (McLachlan, 2007)"
"Q4303595","Japanese Story (Brooks, 2003)"
"Q27959325","Jasper Jones (Perkins, 2017)"
"Q1790524","Jindabyne (Lawrence, 2006)"
"Q58814991","Jirga (Gilmour, 2018)"
"Q27959460","Joe Cinque's Consolation (Dounoukos, 2016)"
"Q11310825","Joey (Barry, 1997)"
"Q19961325","John Doe: Vigilante (Dolen, 2014)"
"Q6289021","Josh Jarman (Mushin, 2004)"
"Q6302017","Jucy (Alston, 2010)"
"Q61450786","Judy and Punch (Foulkes, 2019)"
"Q110983659","June Again (Winlove, 2020)"
"Q28173325","Jungle (McLean, 2017)"
"Q127600106","Justice (1997)"
"Q127543930","Kairos (2019)"
"Q6376051","Kath & Kimderella (Emery, 2012)"
"Q127600863","Katusha (2008)"
"Q6390950","Kenny (Jacobson, 2006)"
"Q6404196","Kick (Heys, 1999)"
"Q18165705","Kill Me Three Times (Stenders, 2014)"
"Q39075595","The Killing Ground (Power, 2016)"
"Q54801155","The King (Michôd, 2019)"
"Q7744536","The King is Dead (Heer, 2012)"
"Q8029053","Wog Boy 2: Kings of Mykonos (Andrikidis, 2010)"
"Q4657584","A Kink in the Picasso (Gracie, 1990)"
"Q1743756","Kiss or Kill (Bennett, 1997)"
"Q127600855","Kissing Paris (2008)"
"Q10968934","Kokoda (Grierson, 2006)"
"Q781604","Komodo (Lantieri, 1999)"
"Q6465315","La Spagnola (Jacobs, 2001)"
"Q58814676","Ladies in Black (Beresford, 2018)"
"Q6477009","Lake Mungo (2008)"
"Q690463","Lantana (Lawrence, 2001)"
"Q20751330","Last Cab To Darwin (Sims, 2015)"
"Q6494265","Last Dance (Pulbrook, 2012)"
"Q4315248","The Last Days of Chez Nous (Armstrong, 1992)"
"Q1660083","Last Ride (Ivin, 2009)"
"Q6494727","Last Train to Freo (Sims, 2006)"
"Q21095441","The Legend of Ben Hall (Holmes, 2016)"
"Q622763","Legend of the Guardians: The Owls of Ga'Hoole (Snyder, 2010)"
